Date,Open,High,Low,Close
03/16/2023,"16,994.65","17,062.45","16,850.15","16,985.60"
03/15/2023,"17,166.45","17,211.35","16,938.90","16,972.15"
03/14/2023,"17,421.90","17,224.65","16,987.10","17,043.30"
03/13/2023,"17,421.90","17,529.90","17,113.45","17,154.30"
03/10/2023,"17,443.80","17,451.50","17,324.35","17,412.90"
03/09/2023,"17,772.05","17,772.35","17,573.60","17,589.60"
03/08/2023,"17,665.75","17,766.50","17,602.25","17,754.40"
03/06/2023,"17,680.35","17,799.95","17,671.95","17,711.45"
03/03/2023,"17,451.25","17,644.75","17,427.70","17,594.35"
03/02/2023,"17,421.50","17,445.80","17,306.00","17,321.90"
03/01/2023,"17,360.10","17,467.75","17,345.25","17,450.90"
02/28/2023,"17,383.25","17,440.45","17,255.20","17,303.95"
02/27/2023,"17,428.60","17,451.60","17,299.00","17,392.70"
02/24/2023,"17,591.35","17,599.75","17,421.80","17,465.80"
02/23/2023,"17,574.65","17,620.05","17,455.40","17,511.25"
02/22/2023,"17,755.35","17,772.50","17,529.45","17,554.30"
02/21/2023,"17,905.80","17,924.90","17,800.30","17,826.70"
02/20/2023,"17,965.55","18,004.35","17,818.40","17,844.60"
02/17/2023,"17,974.85","18,034.25","17,884.60","17,944.20"
02/16/2023,"18,094.75","18,134.75","18,000.65","18,035.85"
02/15/2023,"17,896.60","18,034.10","17,853.80","18,015.85"
02/14/2023,"17,840.35","17,954.55","17,800.05","17,929.85"
02/13/2023,"17,859.10","17,880.70","17,719.75","17,770.90"
02/10/2023,"17,847.55","17,876.95","17,801.00","17,856.50"
02/09/2023,"17,885.50","17,916.90","17,779.80","17,893.45"
02/08/2023,"17,750.30","17,898.70","17,744.15","17,871.70"
02/07/2023,"17,790.10","17,811.15","17,652.55","17,721.50"
02/06/2023,"17,818.55","17,823.70","17,698.35","17,764.60"
02/03/2023,"17,721.75","17,870.30","17,584.20","17,854.05"
02/02/2023,"17,517.10","17,653.90","17,445.95","17,610.40"
02/01/2023,"17,811.60","17,972.20","17,353.40","17,616.30"
01/31/2023,"17,731.45","17,735.70","17,537.55","17,662.15"
01/30/2023,"17,541.95","17,709.15","17,405.55","17,648.95"
